_id,LOGRADOURO,ZONA,SITUACFISI,DATA,TELEFONE,GEOCODIGO,FONTE,ADMINISTRA,NUMERO,OPERACION,CLASSECNAE,MUNICIPIO,BAIRRO,NOMEABREV,SIGLAEXTEN,NOME,CEP,CODESCOLA,SITUACAO,ORIGEM,COORDX,COORDY,Id
406,Rua Santa Luzia,Urbana,"",Set/2010,(27) 3742-1080,3204658,IJSN,Municipal,35,Sim,Infantil,São Domingos do Norte,Centro,CMEI,Centro Municipal de Educação Infantil,CMEI Criativo,29745-000,32014520,EM ATIVIDADE,"","-40,6240822995681","-19,1447134243367",548
407,Córrego São Luiz,Rural,"",Nov/2010,"",3204005,IJSN,Municipal,s/n,Sim,Fundamental,Pancas,Comunidade Alto São Luiz,EUMEF,Escola Unidocente Municipal de Ensino Fundamental,EUMEF Córrego São Luiz,29750-000,32013400,EM ATIVIDADE,"","-40,8782720532695","-19,1213802044937",554
408,Córrego Alto Pancas,Rural,"",Nov/2010,"",3204005,IJSN,Municipal,s/n,Sim,Fundamental,Pancas,Comunidade Alto Pancas,EUMEF,Escola Unidocente Municipal de Ensino Fundamental,EUMEF Ostílio Alves de Souza,29750-000,32013574,EM ATIVIDADE,"","-40,9009601308136","-19,0951939490124",555
409,Córrego Coração do Norte,Rural,"",Nov/2010,"",3204005,IJSN,Municipal,s/n,Sim,Fundamental,Pancas,Comunidade Alto Pancas,EUMEF,Escola Unidocente Municipal de Ensino Fundamental,EUMEF Geraldo Peixoto,29750-000,32013531,EM ATIVIDADE,"","-40,9136788888799","-19,0872108457908",558
410,Rua Luiz C. do Prado,Urbana,"",Nov/2010,(27) 3746-3000,3200359,IJSN,Municipal,s/n,Sim,Fundamental,Alto Rio Novo,Comunidade Monte Camelo,EMEF,Escola Municipal de Ensino Fundamental,EMEF Vereador Rubens Ramiro da Silva,29760-000,32009011,EM ATIVIDADE,"","-40,9690383220342","-19,0692924322874",560
411,Rua Nova Venécia,Urbana,"",Out/2010,"",3204906,IJSN,Municipal,969,Sim,Fundamental,São Mateus,Guriri,EMEF,Escola Municipal de Ensino Fundamental,EMEF Ouro Negro,29930-000,32076045,EM ATIVIDADE,"","-39,7500134261236","-18,7451197564732",564
412,Rua Pedro Álvares Cabral,Urbana,"",Out/2010,(27) 3727-3173 / 3727-3635,3204708,IJSN,Municipal,43,Sim,Infantil,São Gabriel da Palha,Centro,PEM,Pré Escola Municipal,PEM Chapézinho Vermelho,29780-000,32007850,EM ATIVIDADE,"","-40,536120078374","-19,0177846125711",565
413,"",Rural,"",Out/2010,"",3205176,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Vila Valério,Comunidade Córrego Dourado,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Bernardo Mantovanelli,29785-000,32008457,EM ATIVIDADE,"","-40,4338927638186","-19,0174763166028",566
414,"",Rural,"",Out/2010,"",3205010,IJSN,Municipal,s/n,Sim,Infantil,Sooretama,Comunidade Santa Luzia,PEM,Pré Escola Municipal,PEM Paulo César Fornazier,29927-000,32023448,EM ATIVIDADE,"","-40,1849941361517","-19,1022107617317",567
415,Córrego Cedro,Rural,"",Set/2010,"",3204351,IJSN,Municipal,s/n,Sim,Fundamental,Rio Bananal,Comunidade Córrego da Penha,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego Cedro,29200-000,32025289,EM ATIVIDADE,"","-40,2809828103445","-19,0994261872705",568
416,"",Rural,"",Nov/2010,"",3202256,IJSN,Municipal,s/n,Sim,Fundamental,Governador Lindenberg,Comunidade de Santo Antônio de Novo Brasil,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EUMEF Barra de São João de Moacir,29720-000,32012454,EM ATIVIDADE,"","-40,3804655597107","-19,0953156530707",569
417,Rodovia ES-356,Urbana,"",Out/2010,(27) 3273-4109 / 3273-4034,3205010,IJSN,Estadual,s/n,Sim,Fundamental e Médio,Sooretama,Comunidade Juncado,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Regina Bolssanello Fornazier,29927-000,32023049,EM ATIVIDADE,"","-40,1420885726851","-19,0888072810199",570
418,Rua São Sebastião,Urbana,"",Out/2010,(27) 8152-7967 / 3273-4079,3205010,IJSN,Municipal,s/n,Sim,Infantil,Sooretama,Comunidade Juncado,CEIM,Centro de Educação Infantil Municipal,CEIM Adair Poubel de Almeida,29927-000,32023413,EM ATIVIDADE,"","-40,1413114298701","-19,0875276495084",571
419,"",Rural,"",Out/2010,"",3205010,IJSN,Estadual,s/n,Sim,Fundamental,Sooretama,Comunidade Joeiranais,EEPEF,Escola Estadual Pluridocente de Ensino Fundamental,EEPEF Fazenda Domingos Correia,29927-000,32023200,EM ATIVIDADE,"","-40,0849963081452","-19,0729577380148",572
420,"",Rural,"",Out/2010,"",3205010,IJSN,Municipal,s/n,Sim,Infantil,Sooretama,Comunidade Córrego do Rodrigues,PEM,Pré Escola Municipal,PEM José Martins,29927-000,32024460,EM ATIVIDADE,"","-40,229256124997","-19,0611517245063",573
421,"",Rural,"",Out/2010,"",3205010,IJSN,Estadual,s/n,Sim,Fundamental,Sooretama,Comunidade Córrego do Rodrigues,EEPEF,Escola Estadual Pluridocente de Ensino Fundamental,EEPEF Córrego Rodrigues,29927-000,32024100,EM ATIVIDADE,"","-40,2294054636736","-19,0608390877074",574
422,"",Rural,"",Set/2010,"",3205176,IJSN,Municipal,s/n,Sim,Fundamental,Vila Valério,Comunidade Araribóia,EMEF,Escola Municipal de Ensino Fundamental,EMEF Araribóia,29785-000,32024436,EM ATIVIDADE,"","-40,2953519877434","-19,049622968004",575
423,"",Rural,"",Out/2010,(27) 3728-1611,3205176,IJSN,Municipal,s/n,Sim,Fundamental,Vila Valério,Comunidade Vargem Alegre,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego Vargem Alegre,29785-000,32024126,EM ATIVIDADE,"","-40,331942152654","-19,0114086579448",576
424,Rua Antônio Barcelos,Urbana,"",Out/2010,(27) 3728-1753,3205176,IJSN,Municipal,137,Sim,Infantil,Vila Valério,Vila Nova,EMEI,Escola Municipal de Educação Infantil,EMEI Otilia Breda de Martins,29785-000,32008430,EM ATIVIDADE,"","-40,3877340190403","-19,0017746328408",577
425,Rua Antônio Barcelos,Urbana,"",Out/2010,(27) 3728-1432,3205176,IJSN,Estadual,167,Sim,Fundamental,Vila Valério,Vila Nova,EEEF,Escola Estadual de Ensino Fundamental,EEEF Valério,29785-000,32008481,EM ATIVIDADE,"","-40,3871803189054","-19,0016960645013",578
426,Rua Daniel Pelissari,Urbana,"",Out/2010,(27) 3728-1483,3205176,IJSN,Municipal,50,Sim,Fundamental,Vila Valério,São Rafael,EMEF,Escola Municipal de Ensino Fundamental,EMEF Viva Kaio Fredy Grigoleto,29785-000,32075391,EM ATIVIDADE,"","-40,3931715374604","-19,0007834779276",579
427,Rua Natalino Cossi,Urbana,"",Set/2010,"",3205176,IJSN,Estadual,s/n,Sim,Fundamental e Médio,Vila Valério,São Rafael,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Atílio Vivacqua,29785-000,32008503,EM ATIVIDADE,"","-40,3916057726906","-18,9988757605478",580
428,São Judas Tadeu,Rural,"",Set/2010,"",3204351,IJSN,Municipal,s/n,Sim,Fundamental,Rio Bananal,Comunidade Córrego do Veado,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF São Judas Tadeu,29920-000,32025084,EM ATIVIDADE,"","-40,2461268915853","-19,19161462695",581
429,Rua Vitório Bobbio,Urbana,"",Out/2010,(27) 3273-1310,3205010,IJSN,Estadual,412,Sim,Fundamental e Médio,Sooretama,Centro,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM Armando Barbosa Quitiba,29927-000,32023014,EM ATIVIDADE,"","-40,0968357239109","-19,1914338668408",582
430,Rua São Mateus,Urbana,"",Out/2010,(27) 3273-1862,3205010,IJSN,Municipal,s/n,Sim,Infantil,Sooretama,Centro,PEM,Pré Escola Municipal,PEM Léia dos Santos,29927-000,32023405,EM ATIVIDADE,"","-40,1027320061306","-19,1910485082755",583
431,"",Urbana,"",Out/2010,(27) 3273-1150,3205010,IJSN,Municipal,s/n,Sim,Fundamental,Sooretama,Parque São Jorge,EMEF,Escola Municipal de Ensino Fundamental,EMEF Álvaro Marques de Oliveira,29927-000,32078994,EM ATIVIDADE,"","-40,1099529208461","-19,1907129173288",584
432,Rodovia BR 101,Rural,"",Nov/2010,(27) 3767-8523,3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Comunidade Córrego da Areia,EUM,Escola Unidocente Municipal,EUM Nossa Senhora de Lourdes,29930-000,32018398,EM ATIVIDADE,"","-39,9514659122674","-18,8220451036407",586
433,"",Rural,"",Out/2010,(27) 9949-1688,3204906,IJSN,Municipal,s/n,Sim,Fundamental,São Mateus,Comunidade Córrego do Macaco,EUM,Escola Unidocente Municipal,EUM Córrego do Piqui,29930-000,32018533,EM ATIVIDADE,"","-39,9436968657073","-18,873591316343",587
434,"",Rural,"",Nov/2010,(27) 3767-8523,3204906,IJSN,Municipal,s/n,Sim,Fundamental,São Mateus,Comunidade Rio Preto,EUM,Escola Unidocente Municipal,EUM Laudêncio,29930-000,32078889,PARALISADA,"","-39,9430297200175","-18,80785204464",588
435,"",Rural,"",Nov/2010,(27) 3767-8740,3204906,IJSN,Municipal,s/n,Sim,Fundamental,São Mateus,Comunidade Córrego Preto,EUM,Escola Unidocente Municipal,EUM Córrego Santa Rita,29930-000,32069839,EM ATIVIDADE,"","-39,9390894259344","-18,7702324098987",589
436,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade São Domingos,EUM,Escola Unidocente Municipal,EUM São Domingos,29950-000,32017154,EM ATIVIDADE,"","-39,9374497980091","-18,981060828116",590
437,Rodovia BR 101 Km 83,Urbana,"",Out/2010,(27) 9974-4515,3204906,IJSN,Municipal,s/n,Sim,Infantil,São Mateus,Comunidade Fazenda Paulista,CEIM,Centro de Educação Infantil Municipal,CEIM Paulista,29930-970,32017634,EM ATIVIDADE,"","-39,933163066337","-18,8549409955541",591
438,Rodovia BR 101 Km 83,Urbana,"",Out/2010,(27) 9949-1688,3204906,IJSN,Municipal,s/n,Sim,Fundamental,São Mateus,Comunidade Fazenda Paulista,EMEF,Escola Municipal de Ensino Fundamental,EMEF Paulo Antônio de Souza,29930-000,32018037,EM ATIVIDADE,"","-39,932559878231","-18,8548575481095",592
439,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade São João do Estivado,EPM,Escola Pluridocente Municipal,EPM São João do Estivado,29950-000,32017073,EM ATIVIDADE,"","-39,9308873529423","-19,0185469834657",593
440,Rua Santa Inês,Urbana,"",Out/2010,(27) 3727-4931 / 3727-4750,3204708,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Gabriel da Palha,Santa Terezinha,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF João Gabriel,29780-000,32007736,EM ATIVIDADE,"","-40,5408693278673","-19,0335654007689",595
441,Rua Daniel Comboni,Urbana,"",Out/2010,(27) 3727-2983,3204708,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Gabriel da Palha,Asa Branca,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Bem Viver,29780-000,32007655,EM ATIVIDADE,"","-40,5296431696028","-19,0305043159379",596
442,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Comprido,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Córrego Comprido,29780-000,32007973,EM ATIVIDADE,"","-40,5108242675836","-19,0285112462221",597
443,Rua Antônio Bussular,Urbana,"",Out/2010,(27) 3727-3906 / 3727-2720,3204708,IJSN,Municipal,133,Sim,Infantil,São Gabriel da Palha,Aparecida,CMEI,Centro Municipal de Educação Infantil,CMEI Violanda Fracalossi Galetti,29780-000,32064306,EM ATIVIDADE,"","-40,5362795860653","-19,0239798856269",598
444,Rua Ely Cardoso,Urbana,"",Out/2010,(27) 3727-1172,3204708,IJSN,Municipal,45,Sim,Fundamental,São Gabriel da Palha,Santa Cecília,EMEF,Escola Municipal de Ensino Fundamental,EMEF Irmã Adelaide Bertocchi,29780-000,32007817,EM ATIVIDADE,"","-40,5354088464331","-19,0220631186131",599
445,Rua Deolindo Rocha Loureiro,Urbana,"",Out/2010,(27) 3727-4737 / 3727-1969,3204708,IJSN,Municipal,107,Sim,Fundamental,São Gabriel da Palha,Santa Cecília,EMEF,Escola Municipal de Ensino Fundamental,EMEF Professora Maria Celeste Torezzani Storch,29780-000,32007841,EM ATIVIDADE,"","-40,5370533394836","-19,0213974766039",600
446,Rua João Gabriel,Urbana,"",Out/2010,(27) 3727-3658,3204708,IJSN,Privada,139,Sim,Ensino Especial,São Gabriel da Palha,Santa Cecília,CAEE,Centro de Atendimento Educacional Especializado,CAEE Renascer,29780-000,32062087,EM ATIVIDADE,"","-40,5367853942545","-19,0209604220004",601
447,Rua João Massucatti,Urbana,"",Out/2010,(27) 3727-0505,3204708,IJSN,Privada,90,Sim,Infantil e Fundamental,São Gabriel da Palha,Santa Cecília,CE,Centro Educacional,CE Adventista de São Gabriel da Palha,29780-000,32007647,EM ATIVIDADE,"","-40,5361014741156","-19,0202209623577",602
448,Rua Palmyra Capelli Cassaro,Urbana,"",Out/2010,(27) 3727-3974,3204708,IJSN,Municipal,79,Sim,Infantil,São Gabriel da Palha,São Sebastião,CMEI,Centro Municipal de Educação Infantil,CMEI Mercedes Gomes de Oliveira,29780-000,32064209,EM ATIVIDADE,"","-40,540483138851","-19,0196293655687",603
449,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade Abóbora,EUM,Escola Unidocente Municipal,EUM Córrego das Abóboras,29950-000,32016859,EM ATIVIDADE,"","-40,0550596189664","-18,9663630612322",604
450,"",Rural,"",Set/2010,"",3205176,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Vila Valério,Comunidade Córrego São Vicente,EMPEF,Escola Municipal Pluridocente de Ensino Fundamental,EMPEF Paraíso Novo,29785-000,32024428,EM ATIVIDADE,"","-40,351874997129","-18,9608334489987",605
451,"",Rural,"",Out/2010,"",3205176,IJSN,Estadual,18,Sim,Fundamental,Vila Valério,Comunidade Tiradentes,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Alto Valério,29785-000,32008520,EM ATIVIDADE,"","-40,3760878189972","-18,959186444136",606
452,"",Rural,"",Out/2010,(27) 9801-0801,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade Japira,ECORM,Escola Comunitária Rural Municipal,ECORM de Japira,29950-000,32016751,EM ATIVIDADE,"","-40,0413041680968","-18,953691159556",607
453,"",Rural,"",Out/2010,"",3205176,IJSN,Estadual,3,Sim,Fundamental,Vila Valério,Comunidade Flor de Maio,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Fazenda Amorim,29785-000,32024134,EM ATIVIDADE,"","-40,3029599334545","-18,9404013222912",608
454,"",Rural,"",Out/2010,(27) 3728-1611,3205176,IJSN,Municipal,s/n,Sim,Fundamental,Vila Valério,Comunidade Pedra Rocha,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego da Pedra Roxa,29785-000,32024363,EM ATIVIDADE,"","-40,2805220942206","-18,9320298708026",609
455,"",Rural,"",Out/2010,(27) 3728-1611,3205176,IJSN,Municipal,s/n,Sim,Fundamental,Vila Valério,Comunidade Saúde,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego da Saúde,29785-000,32024355,EM ATIVIDADE,"","-40,3326226259164","-18,9315620364129",610
456,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Bonfim,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Duas Barras,29780-000,32008627,EM ATIVIDADE,"","-40,3823357269896","-18,9249683587854",611
457,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade Fátima,EUM,Escola Unidocente Municipal,EUM Santa Rita,29950-000,32016905,EM ATIVIDADE,"","-40,1529410840448","-18,9247229586131",612
458,Rua Fernando Rocha,Urbana,"",Out/2010,(27) 9974-6973 / 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Novo Tempo,EMEF,Escola Municipal de Ensino Fundamental,EMEF Novo Tempo,29950-000,32100400,EM ATIVIDADE,"","-40,0760561815501","-18,9211895434134",613
459,"",Rural,"",Out/2010,"",3204708,IJSN,Municipal,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Jacarandá,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego Jacarandá,29780-000,32008279,EM ATIVIDADE,"","-40,3903899426094","-18,9161074754142",614
460,Rua Rio Bananal,Urbana,"",Out/2010,(27) 3769-2262,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Seac,EMEF,Escola Municipal de Ensino Fundamental,EMEF Santa Catarina,29950-000,32064802,EM ATIVIDADE,"","-40,0720974387771","-18,9130934291428",615
461,Rua Mário Frederico Zanotelli,Urbana,"",Out/2010,(27) 3727-2355 / 3727-2784,3204708,IJSN,Privada,86,Sim,Infantil e Fundamental,São Gabriel da Palha,Populares,EEB,Escola de Ensino Básico,EEB Coopesg Robusta,29780-000,32007922,EM ATIVIDADE,"","-40,5427420064614","-19,0159800603842",626
462,Rua José Alves,Urbana,"",Out/2010,(27) 3727-2088,3204708,IJSN,Estadual,22,Sim,Fundamental,São Gabriel da Palha,Populares,EEEF,Escola Estadual de Ensino Fundamental,EEEF Professor Carlos Dias Miranda Cunha,29780-000,32007825,EM ATIVIDADE,"","-40,5408694236974","-19,0153037784454",627
463,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Bley,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Córrego Bley,29780-000,32007965,EM ATIVIDADE,"","-40,4736445891143","-19,0148929588347",628
464,"",Rural,"",Out/2010,"",3204708,IJSN,Municipal,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Sete de Setembro,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego Sete de Setembro,29780-000,32008023,EM ATIVIDADE,"","-40,5866232846534","-19,0114269251385",629
465,Rodovia João Izoton Filho,Urbana,"",Out/2010,(27) 3727-1356 / 3727-1953,3204708,IJSN,Estadual,s/n,Sim,Fundamental e Médio,São Gabriel da Palha,Mirante,EEEFM,Escola Estadual de Ensino Fundamental e Médio,EEEFM São Gabriel da Palha,29780-000,32007876,EM ATIVIDADE,"","-40,5351740332749","-19,01177674063",630
466,Rua Antônio Borgo,Urbana,"",Out/2010,(27) 3727-3912,3204708,IJSN,Municipal,50,Sim,Fundamental,São Gabriel da Palha,Jardim de Infância,EMEF,Escola Municipal de Ensino Fundamental,EMEF Ilda Ferreira da Fonseca Martins,29780-000,32076614,EM ATIVIDADE,"","-40,539488854576","-19,01030743959",631
467,Rua Boa Vista,Urbana,"",Out/2010,(27) 3727-3711,3204708,IJSN,Municipal,30,Sim,Infantil,São Gabriel da Palha,Boa Vista,CMEI,Centro Municipal de Educação Infantil,CMEI Vovó Zefa,29780-000,32007663,EM ATIVIDADE,"","-40,5395056419262","-19,008879122566",632
468,"",Rural,"",Out/2010,(27) 9849-7439,3204708,IJSN,Privada,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Bley,EFA,Escola Família Agrícola,EFAEFMEP do Bley,29780-000,32007930,EM ATIVIDADE,"","-40,4769779492036","-19,0090248884666",633
469,Rua Francisco Neves,Urbana,"",Out/2010,(27) 3727-4926 / 3727-4963,3204708,IJSN,Estadual,24,Sim,Fundamental,São Gabriel da Palha,Boa Vista,EEEF,Escola Estadual de Ensino Fundamental,EEEF Bairro Boa Vista,29780-000,32007787,EM ATIVIDADE,"","-40,5397175920282","-19,0068430324696",634
470,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Arara,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF São João Batista,29780-000,32008104,EM ATIVIDADE,"","-40,4919339194091","-19,002385674264",635
471,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Bley,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Valdivino Grooner,29780-000,32007779,EM ATIVIDADE,"","-40,4770064146203","-18,9908228070852",636
472,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego do Sete,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Fazenda Suave,29780-000,32008066,EM ATIVIDADE,"","-40,5721662606646","-18,9899780186022",637
473,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Arara,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Córrego das Araras,29780-000,32008007,EM ATIVIDADE,"","-40,4916677681346","-18,9783329224426",638
474,"",Rural,"",Out/2010,"",3205176,IJSN,Estadual,6,Sim,Fundamental,Vila Valério,Comunidade São Luís,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Fazenda São Geraldo,29785-000,32008651,EM ATIVIDADE,"","-40,4091412220633","-18,9714845524619",639
475,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade do Louvo,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Vale Encantado,29780-000,32008392,EM ATIVIDADE,"","-40,4742664455954","-18,96435079847",640
476,"",Rural,"",Out/2010,"",3204708,IJSN,Municipal,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Córrego Dourados,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego da Laje,29780-000,32007701,EM ATIVIDADE,"","-40,5238862568689","-18,9541880979225",641
477,"",Rural,"",Out/2010,"",3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade do Louvo,EEUEF,Escola Estadual Unidocente de Ensino Fundamental,EEUEF Fazenda Lovo,29780-000,32008201,EM ATIVIDADE,"","-40,4850111726488","-18,9454895927796",642
478,"",Rural,"",Out/2010,(27) 3728-1426,3204708,IJSN,Estadual,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade Queixada,EEEF,Escola Estadual de Ensino Fundamental,EEEF Córrego Queixada,29780-000,32008473,EM ATIVIDADE,"","-40,4200811176333","-18,9445870659901",643
479,"",Rural,"",Out/2010,"",3204708,IJSN,Municipal,s/n,Sim,Fundamental,São Gabriel da Palha,Comunidade de Queixada,EMUEF,Escola Municipal Unidocente de Ensino Fundamental,EMUEF Córrego Fartura,29780-000,32008171,EM ATIVIDADE,"","-40,4704900317823","-18,9332900989788",644
480,Rua Luiz Giubert,Urbana,"",Set/2010,(27) 3265-6143,3204351,IJSN,Municipal,s/n,Sim,Infantil,Rio Bananal,Distrito de São Jorge do Tiradentes,EMEI,Escola Municipal de Educação Infantil,EMEI Pereira Torres,29920-000,32025637,EM ATIVIDADE,"","-40,3628521248214","-19,1235053718125",645
481,Rodovia Miguel Curry Carneiro,Rural,"",Nov/2010,(27) 3767-8523 / 97235940,3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Comunidade Buraco Quente,EPM,Escola Pluridocente Municipal,EPM Córrego do Rancho,29930-000,32017790,EM ATIVIDADE,"","-40,0336986737128","-18,7305487766266",646
482,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,Jaguaré,Comunidade Santa Maria Goreth,EPM,Escola Pluridocente Municipal,EPM Santa Maria Goreth,29950-000,32016956,EM ATIVIDADE,"","-40,0282881787009","-18,8499645050144",647
483,"",Rural,"",Nov/2010,"",3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Comunidade Quilometro Dezoito,"",scola Pluridocente Municipal,EPM Km 20,29930-000,32018509,EM ATIVIDADE,"","-40,0263104220527","-18,6965610383594",648
484,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade Córrego Caximbau,EUM,Escola Unidocente Municipal,EUM Boa Vista,29950-000,32016808,EM ATIVIDADE,"","-40,0178857432888","-18,930445939936",649
485,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade São Roque,EUM,Escola Unidocente Municipal,EMEIEF São Roque,29950-000,32016646,EM ATIVIDADE,"","-40,0109763306248","-18,906406042595",650
486,Rodovia Miguel Curry Carneiro,Rural,"",Nov/2010,(27) 3767-8887,3204906,IJSN,Municipal,s/n,Sim,Fundamental,São Mateus,Quilômetro Dezoito,EUM,Escola Unidocente Municipal,EUM Água Boa,29930-000,32018304,PARALISADA,"","-40,0056425978541","-18,6942244032394",651
487,"",Rural,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Infantil,Jaguaré,Comunidade Córrego da Areia,PEM,Pré Escola Municipal,PEM XIII de Setembro,29950-000,32101201,EM ATIVIDADE,"","-39,9999959484612","-18,8099892579013",652
488,"",Rural,"",Out/2010,(27) 3769-1957,3203056,IJSN,Estadual,s/n,Sim,Fundamental,São Mateus,Comunidade Córrego da Areia,EEEF,Escola Estadual de Ensino Fundamental,EEEF XIII de Setembro,29950-000,32016573,EM ATIVIDADE,"","-39,9998821924377","-18,8099241481585",653
489,Rodovia BR 101 Km 100,Urbana,"",Out/2010,(27) 9910-0752,3203056,IJSN,Municipal,s/n,Sim,Fundamental,Jaguaré,Comunidade Barra Seca,EMEF,Escola Municipal de Ensino Fundamental,EMEF Barra Seca de Ponte Nova,29950-000,32017103,EM ATIVIDADE,"","-39,9994673735035","-18,9913039770336",654
490,Rodovia Miguel Curry Carneiro,Rural,"",Nov/2010,(27) 3767-8887,3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Quilômetro Dezoito,EPM,Escola Pluridocente Municipal,EPM Vaversa,29930-000,32017901,EM ATIVIDADE,"","-39,9957549289393","-18,6986234304006",655
491,Rua José Onei Puppim,Urbana,"",Out/2010,(27) 3769-1770,3203056,IJSN,Municipal,s/n,Sim,Infantil,Jaguaré,Comunidade Barra Seca,CEIM,Centro de Educação Infantil Municipal,CEIM Barra Seca,29950-000,32017162,EM ATIVIDADE,"","-39,9969316302065","-18,9845459018864",656
492,Rodovia São Mateus,Rural,"",Nov/2010,(27) 3767-8887,3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Comunidade Piaúna,EPM,Escola Pluridocente Municipal,EPM Nova Vista,29930-000,32019025,EM ATIVIDADE,"","-39,9917277294817","-18,65474505803",657
493,"",Rural,"",Nov/2010,(27) 3767-8523,3204906,IJSN,Municipal,s/n,Sim,Infantil e Fundamental,São Mateus,Comunidade Piaúna,EPM,Escola Pluridocente Municipal,EPM Córrego do Chiado,29930-000,32019181,EM ATIVIDADE,"","-39,9895116503277","-18,6575313307327",658
